family,configuration,query_group,card_hit_at_3,card_hit_at_3_denominator,strict_evidence_hit_at_3,strict_evidence_hit_at_3_denominator,recall_at_5,recall_at_5_denominator,mrr_at_5,mrr_at_5_denominator,ndcg_at_5,ndcg_at_5_denominator
weighted_rrf,vector_0.5_keyword_0.5,all,0.9,30,0.6,30,0.725,30,0.45388888888888884,30,0.5036922394548896,30
weighted_rrf,vector_0.6_keyword_0.4,all,0.9,30,0.6,30,0.725,30,0.48166666666666663,30,0.5253494465580817,30
weighted_rrf,vector_0.7_keyword_0.3,all,0.9,30,0.6,30,0.725,30,0.4705555555555555,30,0.5183289071211779,30
weighted_rrf,vector_0.8_keyword_0.2,all,0.9333333333333333,30,0.6,30,0.725,30,0.4966666666666667,30,0.5283873346132656,30
baseline_reconstructed,keyword,all,0.9333333333333333,30,0.5333333333333333,30,0.6166666666666667,30,0.3816666666666667,30,0.42944653268762767,30
baseline_reconstructed,vector,all,0.9666666666666667,30,0.6,30,0.725,30,0.5111111111111112,30,0.5370432222851463,30
baseline_reconstructed,hybrid_rrf_0.5_0.5,all,0.9,30,0.6,30,0.725,30,0.45388888888888884,30,0.5036922394548896,30
hierarchy,card,all,0.9,30,1.0,10,1.0,10,1.0,10,1.0,10
hierarchy,page,all,0.9,30,,0,,0,,0,,0
hierarchy,section,all,0.9333333333333333,30,0.8,10,0.8,10,0.7033333333333334,10,0.6957494526189862,10
hierarchy,benefit,all,0.9333333333333333,30,0.8,10,0.9,10,0.7583333333333333,10,0.8001265835341886,10
hierarchy,section+benefit,all,0.9,30,0.65,20,0.675,20,0.5666666666666667,20,0.5786932905270475,20
hierarchy,all,all,0.9,30,0.6,30,0.725,30,0.4705555555555555,30,0.5183289071211779,30
two_stage_card,top_1,proper_noun_or_card,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
two_stage_evidence,top_1,evidence,0.7,20,0.5,20,0.5,20,0.4541666666666666,20,0.4523969090412724,20
two_stage_card,top_3,proper_noun_or_card,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
two_stage_evidence,top_3,evidence,0.8,20,0.6,20,0.6,20,0.5041666666666667,20,0.5154898843984181,20
two_stage_card,top_5,proper_noun_or_card,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
two_stage_evidence,top_5,evidence,0.8,20,0.6,20,0.6,20,0.5041666666666667,20,0.5154898843984181,20
duplicate_control,none,evidence,0.85,20,0.65,20,0.675,20,0.5666666666666667,20,0.5786932905270475,20
duplicate_control,card_max_1,evidence,0.9,20,0.5,20,0.425,20,0.4875,20,0.4135059068184884,20
duplicate_control,card_max_2,evidence,0.9,20,0.65,20,0.5125,20,0.5416666666666667,20,0.48270885352813747,20
duplicate_control,card_max_2_parent_max_1,evidence,0.9,20,0.5,20,0.425,20,0.4875,20,0.4135059068184884,20
metadata_filter,unique_explicit_alias_else_unfiltered,all,0.9,30,0.6,30,0.725,30,0.4705555555555555,30,0.5183289071211779,30
final,rrf_0.7_0.3_alias_two_stage_n3_card2,all,0.9,30,0.7,30,0.625,30,0.65,30,0.6115867824726673,30
