configuration,question_group,card_hit_at_3,strict_evidence_hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5,denominator
normalized_bm25,all,0.9,0.6666666666666666,0.725,0.43166666666666664,0.4899043430230987,30
normalized_bm25,card,0.9,0.6,0.8,0.3,0.4254142376861158,10
normalized_bm25,evidence,0.9,0.7,0.6875,0.49749999999999994,0.52214939569159,20
normalized_bm25,category_proper_noun,0.9,0.6,0.8,0.3,0.4254142376861158,10
normalized_bm25,category_numeric_condition,0.9,0.7,0.675,0.4916666666666667,0.5057077886685047,10
normalized_bm25,category_semantic,0.9,0.7,0.7,0.5033333333333333,0.5385910027146753,10
normalized_plus_morph_bm25,all,0.9,0.6333333333333333,0.6583333333333333,0.4566666666666667,0.4948011934591009,30
normalized_plus_morph_bm25,card,0.9,0.5,0.6,0.4083333333333333,0.4561606311644851,10
normalized_plus_morph_bm25,evidence,0.9,0.7,0.6875,0.48083333333333333,0.5141214746064088,20
normalized_plus_morph_bm25,category_proper_noun,0.9,0.5,0.6,0.4083333333333333,0.4561606311644851,10
normalized_plus_morph_bm25,category_numeric_condition,0.9,0.7,0.675,0.475,0.4976798675833235,10
normalized_plus_morph_bm25,category_semantic,0.9,0.7,0.7,0.4866666666666667,0.5305630816294941,10
rrf_vector_normalized,all,0.9333333333333333,0.7,0.775,0.5383333333333333,0.5748919839559729,30
rrf_vector_normalized,card,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10
rrf_vector_normalized,evidence,0.9,0.75,0.7125,0.6033333333333333,0.5965505415086586,20
rrf_vector_normalized,category_proper_noun,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10
rrf_vector_normalized,category_numeric_condition,1.0,0.8,0.725,0.6533333333333333,0.6125380013878232,10
rrf_vector_normalized,category_semantic,0.8,0.7,0.7,0.5533333333333333,0.580563081629494,10
rrf_vector_normalized_plus_morph,all,0.9333333333333333,0.6666666666666666,0.7416666666666667,0.5605555555555556,0.5828773474628637,30
rrf_vector_normalized_plus_morph,card,1.0,0.6,0.8,0.4833333333333333,0.5623212623289702,10
rrf_vector_normalized_plus_morph,evidence,0.9,0.7,0.7125,0.5991666666666667,0.5931553900298103,20
rrf_vector_normalized_plus_morph,category_proper_noun,1.0,0.6,0.8,0.4833333333333333,0.5623212623289702,10
rrf_vector_normalized_plus_morph,category_numeric_condition,1.0,0.7,0.725,0.645,0.6057476984301269,10
rrf_vector_normalized_plus_morph,category_semantic,0.8,0.7,0.7,0.5533333333333333,0.580563081629494,10
