configuration,vector_weight,bm25_weight,question_group,card_hit_at_3,strict_evidence_hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5,denominator,paired_mrr_wins,paired_mrr_losses,paired_mrr_ties,paired_ndcg_wins,paired_ndcg_losses,paired_ndcg_ties,guardrail_loss_query_count
vector_0.4_bm25_0.6,0.4,0.6,all,0.9333333333333333,0.7333333333333333,0.775,0.5355555555555556,0.5757859162265218,30,,,,,,,
vector_0.4_bm25_0.6,0.4,0.6,card,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073,10,,,,,,,
vector_0.4_bm25_0.6,0.4,0.6,evidence,0.9,0.75,0.7125,0.6199999999999999,0.6128787801395787,20,2,1,17,2,2,16,2
vector_0.4_bm25_0.6,0.4,0.6,category_proper_noun,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073,10,,,,,,,
vector_0.4_bm25_0.6,0.4,0.6,category_numeric_condition,1.0,0.8,0.725,0.6366666666666666,0.6082874540068094,10,,,,,,,
vector_0.4_bm25_0.6,0.4,0.6,category_semantic,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483,10,,,,,,,
vector_0.5_bm25_0.5,0.5,0.5,all,0.9333333333333333,0.7,0.775,0.5383333333333333,0.5748919839559729,30,,,,,,,
vector_0.5_bm25_0.5,0.5,0.5,card,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10,,,,,,,
vector_0.5_bm25_0.5,0.5,0.5,evidence,0.9,0.75,0.7125,0.6033333333333333,0.5965505415086586,20,0,0,20,0,0,20,0
vector_0.5_bm25_0.5,0.5,0.5,category_proper_noun,1.0,0.6,0.9,0.4083333333333333,0.5315748688506009,10,,,,,,,
vector_0.5_bm25_0.5,0.5,0.5,category_numeric_condition,1.0,0.8,0.725,0.6533333333333333,0.6125380013878232,10,,,,,,,
vector_0.5_bm25_0.5,0.5,0.5,category_semantic,0.8,0.7,0.7,0.5533333333333333,0.580563081629494,10,,,,,,,
vector_0.6_bm25_0.4,0.6,0.4,all,0.9333333333333333,0.6333333333333333,0.7416666666666667,0.5444444444444444,0.5706206965390969,30,,,,,,,
vector_0.6_bm25_0.4,0.6,0.4,card,1.0,0.5,0.9,0.4,0.5246425246579403,10,,,,,,,
vector_0.6_bm25_0.4,0.6,0.4,evidence,0.9,0.7,0.6625,0.6166666666666667,0.5936097824796752,20,2,2,16,3,3,14,3
vector_0.6_bm25_0.4,0.6,0.4,category_proper_noun,1.0,0.5,0.9,0.4,0.5246425246579403,10,,,,,,,
vector_0.6_bm25_0.4,0.6,0.4,category_numeric_condition,1.0,0.7,0.625,0.625,0.5670624177066725,10,,,,,,,
vector_0.6_bm25_0.4,0.6,0.4,category_semantic,0.8,0.7,0.7,0.6083333333333333,0.6201571472526778,10,,,,,,,
vector_0.7_bm25_0.3,0.7,0.3,all,0.9333333333333333,0.6,0.7416666666666667,0.5216666666666667,0.5542144648841447,30,,,,,,,
