configuration,depth,system,lambda,group,denominator,positive_pairwise_cosine_mean,positive_pairwise_cosine_max,nearest_neighbor_positive_cosine_mean,exact_duplicate_excess,exact_unique_group_count,same_card_cross_level_pair_count,cross_level_containment_pair_count,cross_level_cosine_ge_0_90_pair_count,unique_card_count,expected_card_count,off_card_count,expected_card_share_at_5,original_rank_mean,original_rank_max,rel_norm_mean,rel_norm_sum,original_rank_mean_delta,rel_norm_mean_delta,redundancy_improved,redundancy_worsened,redundancy_tied
vector_0.4_bm25_0.6,20,no_mmr,,all,30,0.718600066249676,0.9499138487713162,0.8536602163655886,0.6666666666666666,4.333333333333333,6.433333333333334,3.7,1.5333333333333334,1.4666666666666666,4.1,0.9,0.8200000000000001,3.0,5.0,0.9389755994119172,4.694877997059587,0.0,0.0,0,0,0
vector_0.4_bm25_0.6,20,no_mmr,,card,10,0.6914003392091825,0.9328480070909648,0.8301873360865566,0.8,4.2,8.0,4.1,1.4,1.1,4.8,0.2,0.96,3.0,5.0,0.9427642612674034,4.713821306337017,0.0,0.0,0,0,0
vector_0.4_bm25_0.6,20,no_mmr,,evidence,20,0.7321999297699227,0.9584467696114919,0.8653966565051047,0.6,4.4,5.65,3.5,1.6,1.65,3.75,1.25,0.75,3.0,5.0,0.9370812684841742,4.685406342420871,0.0,0.0,0,0,0
vector_0.4_bm25_0.6,20,no_mmr,,numeric,10,0.7553018655930401,0.9640615382105973,0.8673671829898142,0.7,4.3,6.6,3.3,1.7,1.5,4.2,0.8,0.8400000000000001,3.0,5.0,0.9526457402740232,4.763228701370116,0.0,0.0,0,0,0
vector_0.4_bm25_0.6,20,no_mmr,,semantic,10,0.7090979939468053,0.9528320010123863,0.8634261300203951,0.5,4.5,4.7,3.7,1.5,1.8,3.3,1.7,0.66,3.0,5.0,0.9215167966943252,4.607583983471626,0.0,0.0,0,0,0
vector_0.4_bm25_0.6,20,mmr_0.7,0.7,all,30,0.6772049132571198,0.908878760489203,0.8093095347809288,0.4,4.6,6.0,2.8333333333333335,0.8,1.7,4.033333333333333,0.9666666666666667,0.8066666666666666,3.4266666666666667,6.366666666666666,0.9302500254082351,4.651250127041176,0.4266666666666667,-0.00872557400368213,16,1,13
vector_0.4_bm25_0.6,20,mmr_0.7,0.7,card,10,0.665936848526304,0.9208117770912094,0.8107470718749896,0.7,4.3,7.9,3.7,1.0,1.1,4.8,0.2,0.96,3.28,6.1,0.9382175821681047,4.6910879108405235,0.27999999999999997,-0.004546679099298734,3,1,6
vector_0.4_bm25_0.6,20,mmr_0.7,0.7,evidence,20,0.6828389456225279,0.9029122521881996,0.8085907662338983,0.25,4.75,5.05,2.4,0.7,2.0,3.65,1.35,0.73,3.5,6.5,0.9262662470283003,4.631331235141501,0.5,-0.01081502145587383,13,0,7
vector_0.4_bm25_0.6,20,mmr_0.7,0.7,numeric,10,0.7034001236839365,0.9083775092205061,0.8235231421733984,0.3,4.7,6.0,2.2,0.9,1.8,4.1,0.9,0.82,3.46,6.3,0.9434313959136421,4.717156979568211,0.4600000000000001,-0.0092143443603809,6,0,4
vector_0.4_bm25_0.6,20,mmr_0.7,0.7,semantic,10,0.6622777675611192,0.8974469951558934,0.7936583902943982,0.2,4.8,4.1,2.6,0.5,2.2,3.2,1.8,0.64,3.54,6.7,0.9091010981429584,4.545505490714793,0.54,-0.01241569855136676,7,0,3
