configuration,group,denominator,card_hit_at_3,card_hit_at_3_denominator,card_mrr_at_5,card_mrr_at_5_denominator,answer_hit_at_3,answer_hit_at_3_denominator,answer_recall_at_5,answer_recall_at_5_denominator,answer_mrr_at_5,answer_mrr_at_5_denominator,answer_ndcg_at_5,answer_ndcg_at_5_denominator
existing_exact_v1_leaf_filtered,all,30,0.9333333333333333,30,0.9038888888888889,30,0.9,20,0.5184018759018758,20,0.8891666666666665,20,0.6618436426922727,20
existing_exact_v1_leaf_filtered,card,10,1.0,10,0.9333333333333333,10,,0,,0,,0,,0
existing_exact_v1_leaf_filtered,evidence,20,0.9,20,0.8891666666666665,20,0.9,20,0.5184018759018758,20,0.8891666666666665,20,0.6618436426922727,20
existing_exact_v1_leaf_filtered,numeric,10,1.0,10,0.9333333333333332,10,1.0,10,0.5419047619047619,10,0.9333333333333332,10,0.6746982588516371,10
existing_exact_v1_leaf_filtered,semantic,10,0.8,10,0.845,10,0.8,10,0.49489898989898995,10,0.845,10,0.6489890265329084,10
structural_heading_path,all,30,0.9666666666666667,30,0.95,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
structural_heading_path,card,10,1.0,10,1.0,10,,0,,0,,0,,0
structural_heading_path,evidence,20,0.95,20,0.925,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
structural_heading_path,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
structural_heading_path,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
