depth,system,category,card_hit_at_3_delta,hit_at_3_delta,recall_at_5_delta,mrr_at_5_delta,ndcg_at_5_delta
20,all_bge,numeric_condition,0.0,0.0,0.4140476190476191,-0.05,0.20604171686124406
20,all_bge,semantic,0.1,0.1,0.42260101010101014,0.025,0.2353912426640099
20,all_gte,numeric_condition,0.0,0.0,0.4164285714285715,-0.05,0.2348309789707527
20,all_gte,semantic,0.1,0.1,0.4316919191919192,-0.025,0.19049496153041662
20,no_reranker,numeric_condition,0.0,-0.1,0.32476190476190475,-0.033333333333333326,0.20183780484722497
20,no_reranker,semantic,0.1,0.1,0.35510101010101014,0.004999999999999999,0.16739074701560205
20,selective_bge,numeric_condition,0.0,-0.1,0.32476190476190475,-0.033333333333333326,0.20183780484722497
20,selective_bge,semantic,0.1,0.1,0.42260101010101014,0.025,0.2353912426640099
20,selective_gte,numeric_condition,0.0,-0.1,0.32476190476190475,-0.033333333333333326,0.20183780484722497
20,selective_gte,semantic,0.1,0.1,0.4316919191919192,-0.025,0.19049496153041662
50,all_bge,numeric_condition,0.0,0.0,0.4140476190476191,-0.05,0.2098792193736907
50,all_bge,semantic,0.1,0.1,0.4003787878787879,0.025,0.19703460592687633
50,all_gte,numeric_condition,0.0,0.0,0.4164285714285715,-0.05,0.2348309789707527
50,all_gte,semantic,0.1,0.1,0.4205808080808081,-0.10833333333333335,0.13362411878376376
50,no_reranker,numeric_condition,0.0,-0.1,0.32476190476190475,-0.033333333333333326,0.20183780484722497
50,no_reranker,semantic,0.1,0.1,0.35510101010101014,0.004999999999999999,0.16739074701560205
50,selective_bge,numeric_condition,0.0,-0.1,0.32476190476190475,-0.033333333333333326,0.20183780484722497
50,selective_bge,semantic,0.1,0.1,0.4003787878787879,0.025,0.19703460592687633
50,selective_gte,numeric_condition,0.0,-0.1,0.32476190476190475,-0.033333333333333326,0.20183780484722497
50,selective_gte,semantic,0.1,0.1,0.4205808080808081,-0.10833333333333335,0.13362411878376376
